timestamp,item_type,item_name,site,url,price_inr,currency_native,price_native,notes
2026-09-07T15:57:15.822553+00:00,ecommerce,Nykaa matte lipstick,flipkart.com,https://www.flipkart.com/search?q=Nykaa+matte+lipstick,200.0,INR,200.0,webapp best-effort
2026-09-07T15:57:15.822553+00:00,ecommerce,Nykaa matte lipstick,amazon.in,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Mzg1OTg2NjUzOTQ1OTkxOjE3ODg3OTY2MzI6c3BfYXRmOjMwMTA2MjEwMDg2NjkzMjo6MDo6&url=%2FNykaa-Matte-Transfer-Lasting-Lipstick%2Fdp%2FB0GHP4M2PJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.3aakiXXRrq9OSYD14vZc5F0JA8IP6CzzfENvMaVZQYW-hvc0N4CercZeAeNUl1TLVYnrbFxDL0jf_hZ07K1DZRPivEhEy-prDwPZStmQEeOnwQQRejEWF2lZOliapn56uVm4eVehPW9cc7ZUTqAfdSDk60zgDyYSAd0jqWQqoMimJ-eiyRxAvF1xs25O5BQ1qnyq21TkhXaLuydB5W54hSmgb8qhaG_e79wLe-RRxHvKSvLzH6zdY5tteYQ6MtoXwVLWxoYTP70fghFN3NDSUHkTJX3n5uEGrPtM3B1Xvqg.Cesk0BfwLnUb8gnIgIKWq4mbnYBN5M9t7LAtJxiHA7s%26dib_tag%3Dse%26keywords%3DNykaa%2Bmatte%2Blipstick%26qid%3D1788796632%26sr%3D8-1-spons%26aref%3Dwk7tSdG8lF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=wk7tSdG8lF&sp_cr=ZAZ,439.0,INR,439.0,webapp best-effort
2026-09-07T15:57:56.333161+00:00,ecommerce,Nykaa matte lipstick,purplle.com,https://www.purplle.com/product/ny-bae-velvet-mousse-lipstick-spicy-rust-06,199.0,INR,199.0,webapp best-effort
2026-09-07T15:57:56.333161+00:00,ecommerce,Nykaa matte lipstick,amazon.in,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU2ODE3MjMwMjExNjgyOjE3ODg3OTY2NzE6c3BfYXRmOjMwMTA2MjEwMDg2NjkzMjo6MDo6&url=%2FNykaa-Matte-Transfer-Lasting-Lipstick%2Fdp%2FB0GHP4M2PJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.3aakiXXRrq9OSYD14vZc5F0JA8IP6CzzfENvMaVZQYW-hvc0N4CercZeAeNUl1TLVYnrbFxDL0jf_hZ07K1DZbYyN8hCIvuBLI0Hnexs8-NIyi-4vylY1beYkA17-P6Lmy_N2OM8DMxl1xn3T1UuDaPwTZ0qiHj_0ygQL43cGiqPT3WfEOPV-VH1XMzM0DVpm-5fFzIn-vXi29atGLuwlOclx6fALJJShGOxA4ZIDmYmCU2yIx_Z2c0XCb3c41Dh3kI3U9mViuGwfD6XfxP-CA7jm44Qh7RA43ovaAXpGz8.n9G5soAnKakeMPs_XlvZw_fzLNvjLR_WgaVnUVIl3IE%26dib_tag%3Dse%26keywords%3DNykaa%2Bmatte%2Blipstick%26qid%3D1788796671%26sr%3D8-1-spons%26aref%3Dwk7tSdG8lF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=wk7tSdG8lF&sp_cr=ZAZ,439.0,INR,439.0,webapp best-effort
2026-09-07T15:57:56.333161+00:00,ecommerce,Nykaa matte lipstick,flipkart.com,https://www.flipkart.com/nykaa-matte-last-no-transfer-long-lasting-lipstick/p/itm4b0d4acafef8d?pid=LSKHEQR8CEMU9JAA&lid=LSTLSKHEQR8CEMU9JAASJXOUD&marketplace=FLIPKART&q=Nykaa+matte+lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_1&otracker=search&fm=organic&iid=2d2c1b66-5994-4ae8-8c8b-5ae4fc51ae78.LSKHEQR8CEMU9JAA.SEARCH&ppt=None&ppn=None&ssid=t3hxuowbyo0000001788796674428&qH=e82d96285b17f289&ov_redirect=true&ov_redirect=true,579.0,INR,579.0,webapp best-effort
2026-09-07T15:59:17.720880+00:00,hotel,Mysuru 2026-09-20->2026-09-21 x2,booking.com,https://www.booking.com/searchresults.html?ss=Mysuru&checkin=2026-09-20&checkout=2026-09-21&group_adults=2&no_rooms=1,200.0,INR,200.0,webapp best-effort
2026-09-07T15:59:17.720880+00:00,hotel,Mysuru 2026-09-20->2026-09-21 x2,google.com/travel/hotels,https://www.google.com/travel/hotels/Mysuru,2500.0,INR,2500.0,webapp best-effort
2026-09-07T15:59:55.341757+00:00,hotel,Mysuru 2026-09-20->2026-09-21 x2,google.com/travel/hotels,https://www.google.com/travel/hotels/Mysuru,2500.0,INR,2500.0,webapp best-effort
2026-09-07T15:59:55.341757+00:00,hotel,Mysuru 2026-09-20->2026-09-21 x2,booking.com,https://www.booking.com/searchresults.html?ss=Mysuru&checkin=2026-09-20&checkout=2026-09-21&group_adults=2&no_rooms=1,2981.0,INR,2981.0,webapp best-effort
2026-09-07T16:00:24.810895+00:00,ecommerce,Samsung Galaxy M14- Buy Products Online at Best Price in India - All Categories | Flipkart.com,flipkart.com,https://www.flipkart.com/search?q=samsung+galaxy+m14,14999.0,INR,14999.0,webapp best-effort
